number,name,age,party,term_start,term_end,date_born,date_died,term_debt_increase_pct
33,Harry S. Truman,88,Democratic,-780174000,-534794400,-2702833200,94197600,28.9
34,Dwight D. Eisenhower,78,Republican,-534794400,-282333600,-2499793200,-24087600,10.5
35,John F. Kennedy,46,Democratic,-282333600,-192823200,-1659726000,-192823200,6.8
36,Lyndon B. Johnson,64,Democratic,-192823200,-29872800,-1935946800,96530400,13.6
37,Richard Nixon,81,Republican,-29872800,145256400,-1798048800,766990800,31.8
38,Gerald Ford,93,Republican,145256400,222588000,-1781982000,1167112800,35.4
39,Jimmy Carter,91,Democratic,222588000,348818400,1001912400,-33008580000,46.3
40,Ronald Reagan,93,Republican,348818400,601279200,-1858788000,1086411600,186.7
41,George H. W. Bush,91,Republican,601279200,727509600,-1437591600,,56.2
42,Bill Clinton,69,Democratic,727509600,979970400,-737492400,,39.6
43,George W. Bush,69,Republican,979970400,1232431200,-741294000,,76.7
44,Barack Obama,54,Democratic,1232431200,1484892000,-265402800,,87.8
