year,Beer,Wine,Spirits,All_beverages_in_Gallons
1980,1.37,0.34,1.04,2.75
1981,1.39,0.35,1.02,2.76
1982,1.38,0.36,0.98,2.72
1983,1.37,0.36,0.96,2.69
1984,1.35,0.37,0.94,2.65
1985,1.33,0.38,0.91,2.62
1986,1.35,0.39,0.84,2.58
1987,1.34,0.38,0.83,2.55
1988,1.33,0.36,0.79,2.49
1989,1.32,0.34,0.78,2.43
1990,1.34,0.33,0.77,2.45
1991,1.29,0.3,0.71,2.3
1992,1.29,0.3,0.71,2.3
1993,1.26,0.28,0.68,2.23
1994,1.25,0.28,0.65,2.18
1995,1.23,0.29,0.63,2.15
1996,1.24,0.3,0.63,2.16
1997,1.22,0.3,0.62,2.15
1998,1.22,0.3,0.62,2.15
1999,1.23,0.31,0.63,2.17
2000,1.23,0.31,0.64,2.19
2001,1.23,0.31,0.64,2.18
2002,1.23,0.33,0.64,2.2
2003,1.21,0.34,0.67,2.22
2004,1.21,0.35,0.68,2.24
2005,1.2,0.36,0.7,2.25
2006,1.2,0.37,0.71,2.28
2007,1.21,0.38,0.72,2.31
2008,1.2,0.38,0.73,2.31
2009,1.17,0.39,0.73,2.29
2010,1.14,0.38,0.74,2.26
2011,1.12,0.41,0.76,2.29
2012,1.13,0.42,0.78,2.34
2013,1.12,0.42,0.79,2.33
2014,1.1,0.43,0.8,2.32
2015,1.09,0.42,0.81,2.33
2016,1.08,0.44,0.83,2.35
