year,president,party
1980,Jimmy Carter,0
1981,Ronald Reagan,1
1982,Ronald Reagan,1
1983,Ronald Reagan,1
1984,Ronald Reagan,1
1985,Ronald Reagan,1
1986,Ronald Reagan,1
1987,Ronald Reagan,1
1988,Ronald Reagan,1
1989,George H. W. Bush,1
1990,George H. W. Bush,1
1991,George H. W. Bush,1
1992,George H. W. Bush,1
1993,Bill Clinton,0
1994,Bill Clinton,0
1995,Bill Clinton,0
1996,Bill Clinton,0
1997,Bill Clinton,0
1998,Bill Clinton,0
1999,Bill Clinton,0
2000,Bill Clinton,0
2001,George W. Bush,1
2002,George W. Bush,1
2003,George W. Bush,1
2004,George W. Bush,1
2005,George W. Bush,1
2006,George W. Bush,1
2007,George W. Bush,1
2008,George W. Bush,1
2009,Barack Obama,0
2010,Barack Obama,0
2011,Barack Obama,0
2012,Barack Obama,0
2013,Barack Obama,0
2014,Barack Obama,0
2015,Barack Obama,0
2016,Barack Obama,0
2017,Donald Trump,1
